,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
70,#,Legal Term,Tamil Meaning (தமிழ் பொருள்),English Simple Meaning
71,101,Negligence,கவனக்குறைவு,Failure to take proper care
72,102,Notary Public,நோட்டரி பொது அதிகாரி,Official who witnesses signatures
73,103,Notice,அறிவிப்பு,Formal notification
74,104,Null and Void,செல்லாதது / செயலற்றது,No legal force
75,105,Oath,ஆணையுறுதி / சத்தியம்,A promise to tell the truth
76,106,Objection,ஆட்சேபனை,Protest against a question/evidence
77,107,Offense,குற்றம்,A breach of law
78,108,Opinion,நீதிமன்ற கருத்துரை,Judge's explanation of a decision
79,109,Oral Argument,வாய்மொழி வாதம்,Verbal presentation by a lawyer
